SRR7698626paired.trimmed	Maculipinnis01
SRR7698631paired.trimmed	M_atromaculatus
SRR7698668paired.trimmed	Salvini01
SRR7698711paired.trimmed	Salvini02
SRR7698716paired.trimmed	Salvini03
SRR7698724paired.trimmed	Meeki01
SRR7698728paired.trimmed	Salvini04
SRR7698730paired.trimmed	Helleri01
SRR7698731paired.trimmed	Helleri02
SRR7698732paired.trimmed	Helleri03
SRR7698733paired.trimmed	Helleri04
SRR7698734paired.trimmed	Maculipinnis02
SRR7698735paired.trimmed	Helleri05
SRR7698736paired.trimmed	Callolepis01
SRR7698737paired.trimmed	Callolepis02
SRR7698738paired.trimmed	Socolofi01
SRR7698739paired.trimmed	Meeki02
SRR7698741paired.trimmed	Meeki03
SRR7698750paired.trimmed	Maculipinnis03
SRR7698751paired.trimmed	Helleri06
SRR7698756paired.trimmed	Pasionis01
SRR7698757paired.trimmed	Pasionis02
SRR7698759paired.trimmed	Socolofi02
SRR7698768paired.trimmed	M_ornatus
SRR7698770paired.trimmed	M_festae
SRR7698787paired.trimmed	Aureus01
SRR7698803paired.trimmed	Salvini05
SRR7698808paired.trimmed	Maculipinnis04
